YEAR,COMP #,DATE FILED,DATE FINISHED,COMPLAINT TYPE,INCIDENT LOCATION,COMPLAINANT RACE,COMPLAINANT GENDER,COMPLAINANT AGE,UNIQUE COMPL,OFFICER GENDER,NUMBER OF OFFICERS,TENURE (YEARS),APPEAL,ALLEGATION(S) / COMMENTS,COMPLAINT DISPOSITION,CORRECTIVE ACTION,IN PROGRESS,CRS Review Date
2021,FC2021-009,,06/01/2022,R-3B1 COURTESY,1909 West Springfield Avenue,White,Female,,,Female,,8,,,Not Sustained,,,
2021,FC2021-009,,06/01/2022,R-5A3 OPERATIONS,1909 West Springfield Avenue,White,Male,,,Female,,8,,,Unfounded,,,
2021,FC2021-009,,06/01/2022,R-5A3 OPERATIONS,1909 West Springfield Avenue,White,Female,,,Female,,8,,,Unfounded,,,
2022,FC2022-001,,07/20/2023,R-3B1 COURTESY,100 West Windsor Road,Black,Male,,,Male,,7,,,Unfounded,,,
2022,FC2022-001,,07/20/2023,R-5A3 OPERATIONS,100 West Windsor Road,Black,Male,,,Male,,7,,,Unfounded,,,
2022,FC2022-001,,07/20/2023,R-1A2 POOR JUDGEMENT,100 West Windsor Road,Black,Male,,,Male,,7,,,Unfounded,,,
2022,FC2022-002,,04/11/2023,R-3B1 COURTESY,600 South Highland Street,Black,Female,,,Male,,20,,,Unfounded,,,
2022,FC2022-002,,04/11/2023,R-5A3 OPERATIONS,600 South Highland Street,Black,Female,,,Male,,20,,,Unfounded,,,
2022,FC2022-002,,04/11/2023,R-1A2 POOR JUDGEMENT,600 South Highland Street,Black,Female,,,Male,,20,,,Unfounded,,,
2022,FC2022-003,,07/20/2023,R-3B1 COURTESY,100 West Windsor Road,White,Female,,,Male,,4,,,Sustained,,,
2022,FC2022-003,,07/20/2023,R-5A3 OPERATIONS,100 West Windsor Road,White,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-004,,07/20/2023,R-3B1 COURTESY,2901 West Springfield Avenue,Black,Female,,,Male,,21,,,Not Sustained,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,5,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,1,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,2,,,Unfounded,,,
